parking_id,capacity,latitude,longitude
DE-BB-002398,20,52.70385,13.065672
DE-BB-002402,20,52.705116,13.066101
DE-BB-002404,20,52.618874,13.511084
DE-BB-002406,20,52.61792,13.510849
DE-BB-002408,12,53.27662,14.06071
DE-BB-002410,14,53.273006,14.054923
DE-BB-002430,124,52.64229,13.244046
DE-BB-264901,12,53.39425,13.992517
DE-BB-264902,12,53.394367,13.993884
DE-BB-273801,13,53.28492,12.072715
DE-BB-273802,11,53.285343,12.07327
DE-BB-273803,14,53.26427,12.143669
DE-BB-273804,15,53.263435,12.143702
DE-BB-274901,16,53.2164,13.967447
DE-BB-274902,16,53.211235,13.957315
DE-BB-283901,13,53.197456,12.275298
DE-BB-283902,14,53.19631,12.27579
DE-BB-284001,7,53.114998,12.469082
DE-BB-284002,9,53.115276,12.467031
DE-BB-294101,10,53.043045,12.551463
DE-BB-294102,10,53.044445,12.550479
DE-BB-294103,23,53.009422,12.589241
DE-BB-294104,23,52.992027,12.609183
DE-BB-294901,8,53.09202,13.851205
DE-BB-294902,8,53.091984,13.84984
DE-BB-304101,16,52.951733,12.661281
DE-BB-304102,11,52.951057,12.659175
DE-BB-304201,14,52.876354,12.75797
DE-BB-304202,14,52.87668,12.759922
DE-TH-073022,11,50.422356,10.890593
DE-BB-314802,35,52.88247,13.700968
DE-BB-314803,25,52.883873,13.705408
DE-BB-324301,96,52.75491,12.854318
DE-BB-324302,94,52.752937,12.853825
DE-BB-324701,18,52.7104,13.548674
DE-BB-324702,18,52.711815,13.546221
DE-BB-334301,11,52.631134,12.985801
DE-BB-334401,38,52.68554,13.009481
DE-BB-334402,32,52.666073,13.004603
DE-BB-334601,5,52.677486,13.390458
DE-BB-334602,11,52.676723,13.394245
DE-BB-344301,12,52.52227,12.965595
DE-BB-344302,12,52.532375,12.966272
DE-BB-344801,40,52.543747,13.692113
DE-BB-344802,31,52.54269,13.69083
DE-BB-354301,12,52.42069,12.924289
DE-BB-354801,24,52.43725,13.796151
DE-BB-354802,26,52.455933,13.799335
DE-BB-364101,33,52.33815,12.645404
DE-BB-364102,33,52.339924,12.642375
DE-BB-364103,48,52.34199,12.515211
DE-BB-364104,41,52.34136,12.516849
DE-BB-364302,20,52.320538,12.852175
DE-BB-364303,20,52.31916,12.85898
DE-BB-364405,20,52.38376,13.15299
DE-BB-364406,20,52.38435,13.151446
DE-BB-364501,16,52.299583,13.18368
DE-BB-364502,16,52.301296,13.195741
DE-BB-364503,108,52.30297,13.019507
DE-BB-364504,160,52.301617,13.017381
DE-BB-364601,57,52.318024,13.496687
DE-BB-364602,83,52.31597,13.495729
DE-BB-364603,18,52.308357,13.369242
DE-BB-364701,26,52.37802,13.56291
